,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,"Range: ₹564K - ₹2,893K<span></span>","Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
You and IBM India:
IBM is global technology and innovation company present in India since 1992. It is the largest technology and consulting employer in the world, with approximately 380,000 employees serving clients in 170 countries. In this new era of Cognitive Business, IBM is helping to reshape industries as diverse as healthcare, retail, banking, travel, manufacturing, and many more, by bringing together our expertise in Cloud, Analytics, Security, Mobile, and the Internet of Things. We are changing how we build. How we collaborate. How we analyze. How We engage. IBM is a leader in this global transformation. Distinguishes us from other companies in the industry.

IBM is recognized gold standard for inclusion, reflected in winning, to name few, the 2018 Catalyst Award for advancing women in business, the National Award Best Employer of People with Disabilities and being named one of the top 5 2018 Top Companies for Women Technologists for building an inclusive work environment We advocate for fairness and equality as everyone is, and always has been, welcome at IBM.
Our Culture:
IBM is committed to crafting a diverse environment and is proud to be an equal opportunity employer. You will receive consideration for employment without regard to your race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. We are committed to compliance with all fair employment practices regarding citizenship and immigration status
Business Unit Introduction:
The Chief Information Office (CIO) is a cross-functional organization that provides IT applications and infrastructure services to IBM Business Units and to IBMers worldwide. Our mission is to provide a productive environment for everyone at IBM. We do this by leading with Design to drive simplicity and ease of use, Engineering the systems that own the business, and Innovating to transform the business.
Who you are:
As a Software Developer - Data Scientist, you will evaluate and improve products. You will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of problems. This position will bring analytical rigor and statistical methods to the challenges of measuring quality, improving consumer products, and understanding the behavior of end-users.
What youll do:
As a Data Scientist,
Work with large, complex datasets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop a comprehensive understanding of Google data structures and metrics, advocating for changes were needed for both products development and sales activity
Make business recommendations (e.g. cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information
Research and develop analysis, forecasting, and optimization methods to improve the quality of user-facing products
How well help you grow:

Youll have access to all the technical and management training courses you need to become the expert you want to be
Youll learn directly from expert developers in the field; our team leads love to mentor
You have the opportunity to work in many different areas to figure out what really excites you
Required Technical and Professional Expertise
Minimum 3+years of expertise in Data Science assignments
Experience in Data modelling to optimize for performance based on access paths
Solid hands on experience in Design, develop, and maintain pipelines that create search indexes out of data from large databases
Proven expertise in writing complex SQL queries
Excellent in Knowledge of data pre-processing steps uploading, creating master data set, extracting right data from external
Demonstrated ability to independently analyze requirements based on a given specification and come up with a sound and sustainable algorithmic design
Proven knowledge in programming language Python (Pandas library) and R
Able to guide a team of lesser experienced professionals
Preferred Technical and Professional Expertise
Willing to learn new technologies for driving the project
Ambitious individual who can work under their own direction towards agreed targets/goals
Ability to manage change with good time management and focus on strict deliverable with tight deadlines
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
About Business Unit
The IBM Finance organization is responsible for driving enterprise performance and transformation. We are the financial stewards of IBM, delivering IBMs financial strategy, developing new business models, and mitigating enterprise risk. Do you have a passion for creating business value? Join our team in accounting, financial planning, pricing, business controls, tax, treasury, business development (acquisitions & divestitures), and global financing.

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9",Bengaluru,"Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,₹500+ billion (INR),"Amazon, Accenture, Microsoft"
1,Data Scientist,"Range: ₹565K - ₹2,964K<span></span>","At Amazon, we strive to be most customer-centric company on the earth. To get there, we need exceptionally talented, bright, dynamic and driven people to develop the next-generation technologies.
Are you champion of innovating on behalf of the customer by turning data insights into action? Do you want to be part of Amazons strategic and highly impactful finance and payroll technology projects? Amazons Finance Automation Payroll Tech team has an opportunity for a seasoned Data Scientist whose experience illustrates a clear ability to create world class machine learning systems to meet long-term Payroll needs.

At Finance Automation, we are passionate about building systems and services that deliver a seamless and transparent finance experience for Amazon partners. We build, operate, and scale systems that are responsible for billions of dollars in transactions, and are central to the success of worldwide finance. We ""think globally, act locally"" to revolutionize a worldwide employee and customer experience and fulfill our promise to pay accurately, on-time, with lowest cost to Amazon.

As a Data Scientist at Finance Automation, you are self-driven leader with extensive experience in applying statistics and data science concepts to bring tangible benefits for global finance operations. Finance and Payroll domain knowledge is a plus but not required.

· Work with finance and payroll stakeholders to understand the organization goals, objectives, and pain points. Identify key areas to drive Machine Learning initiatives, define needle-moving business questions and success criteria.
· Collect and analyze finance, HR, and payroll data across multiple isolated systems. Derive actionable insights from large volumes of heterogeneous data.
· Create reliable and maintainable code to build regression, classification, clustering, and anomaly detection systems. Work closely with software engineers to develop data ingestion and visualization, and productionize your models.
· Partner with finance analysts, and payroll managers to deploy and test machine learning systems with your statistical models at the core. Automate feedback loops, tune, and improve the models in production.
· Train non-tech stakeholders and partners to effectively use your machine learning systems. Set the right expectations on model limitations and prove business value.
· Create and maintain business and technical artifacts such as requirements documentation, use cases, performance evaluation, and model metrics.
· Learn and utilize AWS technologies and Amazon machine learning systems to effectively work with terabytes of data.

Being part of Amazon Finance Automation gives you the opportunity to work in a rapidly growing organization with many high performing global technology teams. Come join us in making history!




Basic Qualifications

· Bachelor's or Masters degree in Statistics, Applied Math, Operations Research, Economics, Engineering or a related quantitative field with 5 years of working experience as a Data Scientist.
· In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
· Experience building productions systems with statistical analysis, data modeling, regression modeling and forecasting, time series analysis, and deep learning neural networks.
· Expertise in coding using one or more programming languages such as R, Python, MATLAB, and Spark to build machine learning models. Skilled in manipulating and processing data using libraries such as Scikit-learn, Pandas, and NumPy. Demonstrated experience in SQL and/or NoSQL data modeling.
· Experience processing, filtering, and presenting large quantities of data. Ability to design for performance, scalability, and availability.
· Excellent communication, analytical and problem-solving skills. Ability to distill informal customer requirements into problem definitions, dealing with ambiguity and competing objectives.
· Obsession with quality, operational excellence, and customer experience. Ability to convey rigorous mathematical concepts and considerations to non-experts.

Preferred Qualifications

· Passion to dive deep to resolve problems at their root, looking for failure patterns amenable to long-term solutions via simplification and automation.
· Experience in AWS is a huge plus. Functional knowledge of AWS platforms such as Sagemaker, S3, Glue, Dynamodb, and RedShift.
· Exposure to finance and payments domain is a plus.
· Deep understanding of data, application, server, and network security.
· Experience with agile or scrum methodology.",4.2,"Amazon
4.2",Hyderabad,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
2,Data Scientist,Range: ₹416K - ₹450K<span></span>,"Overview


We have an exciting opportunity for a Data Scientist to join our dynamic AI Development team. This permanent position is well suited to an individual that is looking to advance their career in Python / R / Java Programming and gain hands-on experience in a thriving and supportive workplace.

Responsibilities


Objectives: 
Primary focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Ability to manage time and follow guidelines and processes.
Procedures: 
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
 Selecting features, building and optimizing classifiers using machine learning techniques
 Once the data source has been identified, mine and analyse data to drive optimization and improvement of product development, marketing techniques and business strategies.
 Enhancing data collection procedures to include information that is relevant for building analytic systems
 Design and review data collection procedures for regulatory compliance.
 Develop custom data models and algorithms to apply to data sets.
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with SAS programming and Statistics teams
 Develop company A/B testing framework and test model quality.
 Develop processes and tools to monitor and analyse model performance and data accuracy.
 Raise awareness with other team on Data Science techniques and approaches.
 Have a good understanding of ICH/GCP guidelines.
 Follow appropriate Project Management procedures.
 Communicate effectively with project team.
Key Contacts/Relationships (Internal & External):

Internal:Work closely with other project team members, mentor and line manager.

External:Under supervision, may have limited interaction with internal clients to complete various programming activities. To fulfil this role, the Data Scientist supported by AI team members, may be required to participate in project team meetings and be responsive on an ad-hoc basis.

Qualifications
Qualified to degree level or equivalent, preferably in a numerate discipline
Good knowledge on statistics.
5 years of experience on Programming / Data Science Industry and minimum 2 year as Data Scientist",4.0,"Quanticate
4.0",Bengaluru,"Hitchin, United Kingdom",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹1 to ₹5 billion (INR),"GCE Solutions, Parexel, IQVIA"
3,Data Scientist,"Range: ₹715K - ₹1,532K<span></span>","HP is the worlds leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.

We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.

At HP, the future is yours to create!

If you are our Data Scientist in Bangalore, you will have a chance to
Apply statistical methods to analyze the effect of pricing and sales decisions on business performance
Experience building and interpreting machine learning models on real business data, e.g. naïve Bayes, Random Forests, boosted trees, neural networks
Ability to merge different data sources, analyze data and conduct regression analyses (incl. Probit/Logit and other GLM) is required
Experience validating data flows and preparing ETL processes according to business requirements
Visualize and interpret the results of the analyses, including strategy recommendations
Present the results and the corresponding recommendations to the relevant stakeholders, including senior leadership
Design and implement dashboards for the management to track current sales/profit performance.
Develop and implement frameworks and processes for systematic data analysis.
Additional Qualifications
5 years of advanced analytics experience
Advanced proficiency with R language is required. Familiarity with other relevant languages is a plus.
Design, develop and validate statistical models for supporting pricing decisions.
Recommend and refine ongoing improvements to pricing models and algorithms.
Strong analytical skills, with a high level of attention to detail. Proficient in Microsoft Excel and database management
Manipulate data from varying sources to highlight patterns, anomalies, relationships and trends.
Good understanding of financial metrics and ability to leverage pricing decision using financials.
Must be a team player, who is diplomatic, savvy, and has a high level of emotional maturity. Ability to build strong relationships across different functions
University degree in a quantitative discipline (e.g., Quantitative Economics or Quantitative Marketing, Statistics, Econometrics,) with advanced degree preferred
Ability to design reporting dashboards and knowledge of reporting software (e.g. Tableau, Shiny)
Analytics experience in marketing/pricing is a plus
Scope & Impact
Collaborates with peers, junior engineers, data scientists and project team.
Typically interacts with high-level Individual Contributors, Managers and Program Teams.
Leads a project requiring data engineering solutions development.
Education & Experience
Bachelor's, Master's or PHD degree in Mathematics, Economics, Physics, Computer Science, or equivalent.
Typically 4-6 years experience including graduate or postgraduate research.
Advanced analytics experience in marketing/pricing is a plus
#LI-Post",4.0,"HP Inc.
4.0",Bengaluru,"Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
4,Data Scientist,Range: ₹219K - ₹235K<span></span>,"Provide analytical insights into emerging problems, trends and portfolios
Work closely with business partners and stakeholders to determine how to design analysis and measurement approaches that will significantly improve our ability to understand and address emerging business issues
Bringing data to life and making it actionable and relevant to stakeholders through exploratory analysis of internal and external data sources using advanced and innovative analytical techniques, algorithms, and tools
Identifying present or future gaps in the teams existing reporting and tools suite and managing portfolio monitoring, dashboards and reporting
Providing regular updates to leadership, product and other stakeholders that will simplify and clarify complex concepts and the results of analyses effectively with emphasis on the actionable outcomes and impact to business
Experience with standard statistical techniques and tools a plus
Required Qualifications
Bachelor's Degree in a quantitative discipline (Economics, Engineering, Computer Science, Math, Statistics)
1-2 years experience in analytics or management consulting
Proficiency using SQL and querying relational databases
Experience in at least one statistical programming language (SAS, R, Python)
Experience in at least one data visualization tool (Tableau, Qlikview)
Experience with project management
Preferred Skills:
Strong communication skills
Quick learning
Out-of-box Problem Solving",3.5,"PayPal
3.5",Bengaluru,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Square, Amazon, Apple"
5,Data Scientist,"Range: ₹389K - ₹3,212K<span></span>","Date: May 13, 2020

Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt, and scale, making our customers successful in a fully connected world. Headquartered in Stockholm, Sweden, Ericsson is proud of its global presence across 100+ countries and market areas. With a strong focus on innovation, we possess 49 thousand registered patents and a global strength of over 95 thousand competent professionals. We also take pride in supporting networks that cater to a capacity of 40 percent of the world’s mobile traffic, thereby connecting more than 2.5 billion subscribers and counting. We are a world leader in the rapidly changing environment of communications technology – by providing hardware, software, and services to enable the full value of connectivity.

Data Scientist: Noida



About Ericsson:

Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt, and scale, making our customers successful in a fully connected world. Headquartered in Stockholm, Sweden, Ericsson is proud of its global presence across 100+ countries and market areas. With a strong focus on innovation, we possess 49 thousand registered patents and a global strength of over 95 thousand competent professionals. We also take pride in supporting networks that cater to a capacity of 40 percent of the world’s mobile traffic, thereby connecting more than 2.5 billion subscribers and counting. We are a world leader in the rapidly changing environment of communications technology – by providing hardware, software, and services to enable the full value of connectivity.

………………………………………………………………………………………………………………………

If you are someone who has passion towards technology and innovation, here is an opportunity to work with us. As Data Scientist we are looking for future leaders with Entrepreneurial & Service mindset to influence and deliver results.

Job Summary:

As Data Scientist, who will be responsible for developing scientific methods, processes, and systems to extract knowledge or insights to drive the future of applied analytics and Provide thought leadership, perform Advanced Statistical Analytics, and create insights into data to provide to the business actionable insights, identify trends, and measure performance which address business problems.

You will:
Build advanced statistical models, algorithms and trend analysis in order to discover predictive insights related to network and business objectives
Translate data algorithms and complex ideas into actionable management insights and solutions
Translate operator business objectives into business intelligence trough regressive data analytics
Explore and work on Big Data tools and technologies to sustain our continued operational transformation objectives and market leadership
Research and develop approaches on how to improve business processes and customers’ experience by using our vast amounts of data.
To be successful in this role, you must have:

Previous experience on a similar job (at least 5 years)
Good knowledge of statistical analysis, theory of probabilities, design of experiments and machine learning.
Acumen for business flow understanding and expertise in data preparation-data mining and pre-processing.
Strong Knowledge of SQL, PL/SQL, SQL Server, SPSS, SPAS
Good command of programming language and software environment for statistical analysis, graphics representation and reporting i.e. R, Python;
Knowledge of Business Objects, Tableau, Cognos
Distributed computing paradigms such as different distributions of Hadoop, Spark.
Excellent documentation skills


Key Qualifications:

Education: BE/B.Tech.

Minimum years of relevant experience: Min 5 years of relevant work experience.

What’s in it for you?

With over 90,000 employees across 180+ countries, we have a culture that respects and supports your ambitions, in alignment with our values of Respect, Professionalism and Perseverance. Ericsson is extremely focused on learning and development, supports mobility and flexible working hours. We are also committed to diversity and inclusion and to be a responsible and relevant driver of positive change. We also offer some awesome benefits, amazing career development and training programs to provide an empowered career in a connected world.

Next Steps:

What happens next once you apply? Read about the next steps here

For your prep and reference, here is our overall Brand video and some insights about our innovations in 5G

……………………………………………………………………………………………………………………………………

Ericsson provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetics. Ericsson complies with applicable country, state and all local laws governing nondiscrimination in employment in every location across the world in which the company has facilities. In addition, Ericsson supports the UN Guiding Principles for Business and Human Rights and the United Nations Global Compact. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, training and development. Ericsson expressly prohibits any form of workplace harassment based on race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetic information.",3.9,"Ericsson-Worldwide
3.9",Noida,"Stockholm, Sweden",10000+ employees,1876,Company - Public,Telecommunications Services,Telecommunications,₹500+ billion (INR),"Huawei Technologies, IBM, Cisco Systems"
6,Data Scientist,Range: ₹624K - ₹678K<span></span>,"Organizational Level 1 : Amdocs Services
Organizational Level 2 : Amdocs SI Services
Manager : Harjot Singh

Talent Acquisition: [[recruiterName]]
Required Travel : Minimal
Open to Relocation : Relocation - No
Referral Bonus Reward Amount* : ₹25,000.00

* In case this job is open for Amdocs employees only ""Refer Friend to Job"" option is disabled
Who are we?
Every day, billions of transactions, calls and messages that hold the world’s communications fabric together run on systems that Amdocs has helped to create.

Because we work with some of the largest and most innovative companies on the planet, our work makes an impact. Over the past four decades, we have continually reinvented ourselves, and as we keep moving into exciting new areas such as media, gaming, IoT, 5G, cloud services and more, there are always opportunities for us to grow and develop. We will nurture your entrepreneurial instincts with open doors and promote your ability to seize the day. Our company is built of amazing people, a supportive atmosphere and a culture built on mutual support, respect and a “feel good factor” that can only happen in a workplace built by the kind of people that Amdocs employs.

Make your career journey with us.
In one sentence
This is a hands-on position for a motivated and talented innovator. The Data Scientist performs data mining and develops algorithms that provide insight from data.
What will your job look like?
You will oversee and perform end-top-end data based research.
You will design data mining solutions to be implemented and executed with alignment to the planned scope and design coverage and needs/uses, leveraging knowledge and a broad understanding of E2E business processes and requirements.
You will define the data analytics research plan, scope and resources required to meet the objectives of his/her area of ownership.
You will identify and analyze new data analytic directions and their potential business impact to determine the proper prioritization of data analytics activities based on business needs and analytics ROI.
You will identify data sources, oversees the data collection process and designs the data structure in collaboration with data experts (BI or big-data) and subject matter and business experts. Ensures that data used in the data analysis activities are of the highest quality.
You will construct data models (algorithms and formulas) for required business needs and predictions.
You will work closely with content experts and managers to pinpoint queries, map data, and validate results.
You will present results, including the preparation of patents and white papers and facilitating presentations during conferences.
All you need is...
Job Duties and Responsibilities:
2-4 Years of experience in Data Science/Machine Learning role
Deep understanding and experience in the field of Machine Learning, Deep Learning and statistical learning
Experience using statistical computer languages & frameworks (R, Python, PyTorch, Tensorflow, Keras, Scikit etc.)
Experienced on supervised, unsupervised and reinforcement machine learning problems.
Experience creating and using advanced machine learning algorithms: regression, clustering, decision trees, gradient boosting, SVM, anomaly detection, factor analysis, neural networks, etc.
Understand the model lifecycle of cleansing/standardizing raw data, feature creation/selection, writing complex transformation logic to generate independent and dependent variables, model selection, tuning, A/B testing and generating production ready code.
Hands on Experience with data mining & natural language processing
Should be comfortable in going through open source code and reading research papers.
Ability to work independently and drive your own projects
Why you will love this job:
You will be working with dynamic IT Professionals at the back-end in creating content & data with analysis and trends for the business.
You will have respectfully interacts with others throughout the organization
You will across all boundaries with cross regional teams were ever you presence is needed to support the business.",3.8,"Amdocs
3.8",Pune,"Chesterfield, MO",10000+ employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"Netcracker Technology, CSG, Huawei Technologies"
7,Data Scientist,"Range: ₹1,615K - ₹2,700K<span></span>","Description

SHIFT: Day Job

SCHEDULE: Full-time

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.

Qualifications
The
data science team at Oracle Analytics works on diverse data science/ML
problems related to data warehousing such as SLA monitoring and prediction, ensuring
accuracy of ETL data, time series modeling, predicting application metrics and conversational AI(chatbots).

As a member of the Data Science team, you will perform the following tasks
Processing, cleansing and verification of data
Adhoc analysis and visualization using tools such as Python pandas
Develop and deploy machine learning models using scikit-learn, keras, tensorflow, pytorch and Apache Spark/Flink.

Bachelors or Masters degree in Computer science with expertise in data science/machine learning is required. ]]>",3.6,"Oracle
3.6",Bengaluru,"Redwood City, CA",10000+ employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,₹500+ billion (INR),"SAP, Salesforce, Microsoft"
8,Data Scientist,"Range: ₹492K - ₹2,135K<span></span>",NA,3.9,"Accenture
3.9",Mumbai,"Dublin, Ireland",10000+ employees,1989,Company - Public,Consulting,Business Services,₹500+ billion (INR),"Cognizant Technology Solutions, EY, McKinsey & Company"
9,Data Scientist,"Range: ₹1,704K - ₹1,847K<span></span>","What You Should Expect

To ride the wave of AI/ML with deeply enmeshed Operations Research and Mathematics to make real impact in the world of Supply Chain Planning, Retail and Execution.

What your work will be

» Develop and operate solutions that optimize and automate business decisions using large data sets and algorithms

» Work with complex data analysis, data preparation and developing prognostic models based on modern statistical methods

» Develop a deep understanding of retail and supply chain problems

» Write productive software that generates value for our customers

Apply if you have

» Good understanding and insight of Machine Learning Techniques – Supervised, Unsupervised or Semi-Supervised

» Passion for writing software with emphasis on quality, testability and automation

» Experience in building machine learning models or optimization software to solve business problems

» Ability to communicate and contextualize results

We believe that the individuality and diversity of our employees make a decisive

contribution to our success. Our hiring process is based on qualifications and career profile.

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out JDA's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder
4.3",Bengaluru,"Scottsdale, AZ",5001 to 10000 employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"SAP, Oracle, Manhattan Associates"
